Order_id,order_date,order_time,location,channel,customer_id,customer_type,product_category,product,quantity,unit_price,discount,revenue,food_cost,gross_profit,payment_method,table_number,table_size,booking,server_id,wait_time_minute,customer_rating,weather,day_of_week,month
O0100001,2025-05-01,22:44:00,Norwich Riverside,Dine-in,C17610,Returning,tapas,Spanish Omelette,2,7.0,0.0,14.0,3.36,10.64,Card,12.0,6.0,Yes,S006,12,4.6,Rain,Thursday,May
O0100002,2025-05-01,20:42:00,Norwich Riverside,Takeaway,C13544,Loyal,drinks,Sparkling Water,1,2.8,0.0,2.8,0.45,2.35,Contactless,,,No,S002,16,4.6,Rain,Thursday,May
O0100002-2,2025-05-01,20:42:00,Norwich Riverside,Takeaway,C13544,Loyal,drinks,Soft Drink,1,3.2,0.0,3.2,0.58,2.62,Cash,,,No,S002,19,4.3,Rain,Thursday,May
O0100002-3,2025-05-01,20:42:00,Norwich Riverside,Takeaway,C13544,Loyal,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Contactless,,,No,S005,16,4.1,Rain,Thursday,May
O0100002-4,2025-05-01,20:42:00,Norwich Riverside,Takeaway,C13544,Loyal,tapas,Garlic Prawns,2,10.5,0.0,21.0,6.93,14.07,Contactless,,,No,S002,17,4.4,Rain,Thursday,May
O0100003,2025-05-01,14:46:00,Norwich Riverside,Takeaway,C15555,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Contactless,,,No,S004,18,3.6,Rain,Thursday,May
O0100003-2,2025-05-01,14:46:00,Norwich Riverside,Takeaway,C15555,Returning,tapas,Spanish Omelette,1,7.0,0.0,7.0,1.68,5.32,Card,,,No,S002,12,4.2,Rain,Thursday,May
O0100004,2025-05-01,14:24:00,Norwich Riverside,Dine-in,C18555,New,tapas,Croquetas,2,8.5,0.0,17.0,4.76,12.24,Contactless,13.0,6.0,Yes,S003,15,4.2,Rain,Thursday,May
O0100004-2,2025-05-01,14:24:00,Norwich Riverside,Dine-in,C18555,New,tapas,Spanish Omelette,1,7.0,0.0,7.0,1.68,5.32,Contactless,5.0,4.0,Yes,S004,17,4.2,Rain,Thursday,May
O0100004-3,2025-05-01,14:24:00,Norwich Riverside,Dine-in,C18555,New,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Contactless,11.0,6.0,No,S006,15,4.9,Rain,Thursday,May
O0100005,2025-05-01,18:04:00,Norwich Riverside,Dine-in,C10963,Loyal,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Cash,10.0,2.0,No,S002,18,4.1,Rain,Thursday,May
O0100005-2,2025-05-01,18:04:00,Norwich Riverside,Dine-in,C10963,Loyal,tapas,Spanish Omelette,1,7.0,0.0,7.0,1.68,5.32,Card,23.0,2.0,No,S003,23,4.4,Rain,Thursday,May
O0100005-3,2025-05-01,18:04:00,Norwich Riverside,Dine-in,C10963,Loyal,tapas,Garlic Prawns,2,10.5,0.0,21.0,6.93,14.07,Cash,6.0,2.0,No,S003,16,3.8,Rain,Thursday,May
O0100006,2025-05-01,19:46:00,Norwich City Centre,Dine-in,C14411,Returning,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Card,17.0,2.0,Yes,S004,24,4.3,Rain,Thursday,May
O0100006-2,2025-05-01,19:46:00,Norwich City Centre,Dine-in,C14411,Returning,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Online,4.0,4.0,No,S006,18,4.8,Rain,Thursday,May
O0100006-3,2025-05-29,19:46:00,Norwich City Centre,Dine-in,C14411,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Card,17.0,6.0,No,S003,12,4.8,Rain,Thursday,May
O0100007,2025-05-22,22:10:00,Norwich City Centre,Dine-in,C11645,New,drinks,House Sangria,2,8.0,0.1,14.4,3.2,11.2,Contactless,27.0,6.0,No,S003,25,4.4,Rain,Thursday,May
O0100007-2,2026-05-28,22:10:00,Norwich City Centre,Dine-in,C11645,New,mains,Chicken & Chorizo Paella,1,19.5,0.05,18.52,5.65,12.87,Card,12.0,6.0,Yes,S002,27,5.0,Rain,Thursday,May
O0100007-3,2026-05-21,22:10:00,Norwich City Centre,Dine-in,C11645,New,mains,Chicken & Chorizo Paella,1,19.5,0.1,17.55,5.65,11.9,Contactless,18.0,2.0,Yes,S003,21,4.1,Rain,Thursday,May
O0100008,2026-05-07,16:08:00,Norwich City Centre,Dine-in,C10179,New,desserts,Basque Cheesecake,1,7.0,0.0,7.0,1.75,5.25,Card,26.0,4.0,No,S005,18,4.1,Rain,Thursday,May
O0100008-2,2025-05-15,16:08:00,Norwich City Centre,Dine-in,C10179,New,tapas,Spanish Omelette,3,7.0,0.0,21.0,5.04,15.96,Card,20.0,6.0,Yes,S005,19,4.4,Rain,Thursday,May
O0100008-3,2026-05-21,16:08:00,Norwich City Centre,Dine-in,C10179,New,tapas,Patatas Bravas,3,7.5,0.0,22.5,5.62,16.88,Card,6.0,4.0,Yes,S006,14,4.5,Rain,Thursday,May
O0100009,2025-05-01,16:13:00,Norwich Riverside,Takeaway,C13342,Returning,tapas,Spanish Omelette,1,7.0,0.0,7.0,1.68,5.32,Online,,,No,S002,19,4.3,Rain,Thursday,May
O0100009-2,2025-05-01,16:13:00,Norwich Riverside,Takeaway,C13342,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Card,,,No,S006,8,5.0,Rain,Thursday,May
O0100009-3,2025-05-01,16:13:00,Norwich Riverside,Takeaway,C13342,Returning,tapas,Patatas Bravas,1,7.5,0.05,7.12,1.88,5.24,Online,,,No,S004,9,4.4,Rain,Thursday,May
O0100009-4,2025-05-01,16:13:00,Norwich Riverside,Takeaway,C13342,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Card,,,No,S002,7,4.4,Rain,Thursday,May
O0100010,2025-05-29,20:10:00,Norwich City Centre,Dine-in,C18030,New,drinks,Spanish Lager,3,5.5,0.0,16.5,3.96,12.54,Card,15.0,2.0,Yes,S002,27,4.4,Rain,Thursday,May
O0100010-2,2025-05-15,20:10:00,Norwich City Centre,Dine-in,C18030,New,tapas,Garlic Prawns,1,10.5,0.05,9.97,3.47,6.5,Online,16.0,2.0,No,S002,7,4.9,Rain,Thursday,May
O0100010-3,2025-05-15,20:10:00,Norwich City Centre,Dine-in,C18030,New,drinks,Coffee,2,3.0,0.0,6.0,0.9,5.1,Cash,19.0,2.0,No,S005,18,5.0,Rain,Thursday,May
O0100011,2025-05-22,18:03:00,Norwich City Centre,Dine-in,C11397,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Online,12.0,2.0,Yes,S005,11,4.3,Rain,Thursday,May
O0100011-2,2025-05-22,18:03:00,Norwich City Centre,Dine-in,C11397,Returning,tapas,Garlic Prawns,1,10.5,0.0,10.5,3.47,7.03,Card,29.0,4.0,No,S006,16,4.4,Rain,Thursday,May
O0100012,2025-05-01,20:30:00,Norwich Riverside,Dine-in,C18606,New,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Contactless,22.0,6.0,Yes,S003,10,4.2,Rain,Thursday,May
O0100012-2,2025-05-01,20:30:00,Norwich Riverside,Dine-in,C18606,New,drinks,Sparkling Water,3,2.8,0.0,8.4,1.34,7.06,Contactless,22.0,2.0,No,S004,14,4.9,Rain,Thursday,May
